N/A,AOSX-13-000075,os_ir_support_disable,Disable Infrared (IR) support
V-252436,APPL-12-000001,sysprefs_apple_watch_unlock_disable,Prevent Apple Watch from Terminating a Session Lock
V-252437,APPL-12-000002,sysprefs_screensaver_password_enforce,Enforce Screen Saver Password
V-252438,APPL-12-000003,sysprefs_screensaver_ask_for_password_delay_enforce,Enforce Session Lock After Screen Saver is Started
V-252439,APPL-12-000004,sysprefs_screensaver_timeout_enforce,Enforce Screen Saver Timeout
V-252440,APPL-12-000005,sysprefs_token_removal_enforce,Configure User Session Lock When a Smart Token is Removed
V-252441,APPL-12-000006,os_screensaver_loginwindow_enforce,Enforce Screen Saver at Login Window
V-252442,APPL-12-000007,sysprefs_hot_corners_disable,Disable Hot Corners
V-252443,APPL-12-000011,sysprefs_ssh_disable,Disable SSH Server for Remote Access Sessions
V-252444,APPL-12-000012,pwpolicy_temporary_or_emergency_accounts_disable,Automatically Remove or Disable Temporary or Emergency User Accounts within 72 Hours
V-252445,APPL-12-000014,os_time_server_enabled,Enable Time Synchronization Daemon
V-252445,APPL-12-000014,sysprefs_time_server_configure,Configure macOS to Use an Authorized Time Server
V-252445,APPL-12-000014,sysprefs_time_server_enforce,Enable macOS Time Synchronization Daemon (timed)
V-252446,APPL-12-000015,os_ess_installed,Must Use ESS
V-252447,APPL-12-000016,os_directory_services_configured,Integrate System into a Directory Services Infrastructure
V-252448,APPL-12-000022,pwpolicy_account_lockout_enforce,Limit Consecutive Failed Login Attempts to $ODV
V-252448,APPL-12-000022,pwpolicy_account_lockout_timeout_enforce,Set Account Lockout Time to $ODV Minutes
V-252449,APPL-12-000023,os_policy_banner_ssh_configure,Display Policy Banner at Remote Login
V-252450,APPL-12-000024,os_policy_banner_ssh_enforce,Enforce SSH to Display Policy Banner
V-252451,APPL-12-000025,os_policy_banner_loginwindow_enforce,Display Policy Banner at Login Window
V-252452,APPL-12-000030,audit_acls_files_configure,Configure Audit Log Files to Not Contain Access Control Lists
V-252453,APPL-12-000031,audit_acls_folders_configure,Configure Audit Log Folder to Not Contain Access Control Lists
V-252454,APPL-12-000032,os_filevault_authorized_users,FileVault Authorized Users
V-252455,APPL-12-000033,os_filevault_autologin_disable,Disable FileVault Automatic Login
V-252456,APPL-12-000051,os_sshd_client_alive_interval_configure,Configure SSHD ClientAliveInterval to $ODV
V-252457,APPL-12-000052,os_sshd_client_alive_count_max_configure,Configure SSHD ClientAliveCountMax to $ODV
V-252458,APPL-12-000053,os_sshd_login_grace_time_configure,Set Login Grace Time to $ODV
V-252459,APPL-12-000054,os_sshd_fips_140_ciphers,Limit SSHD to FIPS 140 Validated Ciphers
V-252460,APPL-12-000055,os_sshd_fips_140_macs,Limit SSHD to FIPS 140 Validated Message Authentication Code Algorithms
V-252461,APPL-12-000056,os_sshd_key_exchange_algorithm_configure,Configure SSHD to Use Secure Key Exchange Algorithms
V-252462,APPL-12-001001,audit_flags_ad_configure,Configure System to Audit All Administrative Action Events
V-252463,APPL-12-001002,audit_flags_lo_configure,Configure System to Audit All Log In and Log Out Events
V-252464,APPL-12-001003,audit_auditd_enabled,Enable Security Auditing
V-252465,APPL-12-001010,audit_failure_halt,Configure System to Shut Down Upon Audit Failure
V-252466,APPL-12-001012,audit_files_owner_configure,Configure Audit Log Files to be Owned by Root 
V-252467,APPL-12-001013,audit_folder_owner_configure,Configure Audit Log Folders to be Owned by Root 
V-252468,APPL-12-001014,audit_files_group_configure,Configure Audit Log Files Group to Wheel
V-252469,APPL-12-001015,audit_folder_group_configure,Configure Audit Log Folders Group to Wheel
V-252470,APPL-12-001016,audit_files_mode_configure,Configure Audit Log Files to Mode 440 or Less Permissive
V-252471,APPL-12-001017,audit_folders_mode_configure,Configure Audit Log Folders to Mode 700 or Less Permissive
V-252472,APPL-12-001020,audit_flags_fd_configure,Configure System to Audit All Deletions of Object Attributes
V-252472,APPL-12-001020,audit_flags_fm_configure,Configure System to Audit All Changes of Object Attributes
V-252472,APPL-12-001020,audit_flags_fr_configure,Configure System to Audit All Failed Read Actions on the System
V-252472,APPL-12-001020,audit_flags_fw_configure,Configure System to Audit All Failed Write Actions on the System
V-252473,APPL-12-001029,audit_retention_configure,Configure Audit Retention to $ODV
V-252474,APPL-12-001030,audit_configure_capacity_notify,Configure Audit Capacity Warning
V-252475,APPL-12-001031,audit_settings_failure_notify,Configure Audit Failure Notification
V-252476,APPL-12-001044,audit_flags_aa_configure,Configure System to Audit All Authorization and Authentication Events
V-252477,APPL-12-001060,auth_smartcard_certificate_trust_enforce_moderate,Set Smartcard Certificate Trust to Moderate
V-252478,APPL-12-001100,os_sshd_permit_root_login_configure,Disable Root Login for SSH
V-252479,APPL-12-002001,sysprefs_smbd_disable,Disable Server Message Block Sharing
V-252480,APPL-12-002003,os_nfsd_disable,Disable Network File System Service
V-252481,APPL-12-002004,sysprefs_location_services_disable,Disable Location Services
V-252482,APPL-12-002005,os_bonjour_disable,Disable Bonjour Multicast
V-252483,APPL-12-002006,os_uucp_disable,Disable Unix-to-Unix Copy Protocol Service
V-252484,APPL-12-002007,sysprefs_internet_sharing_disable,Disable Internet Sharing
V-252485,APPL-12-002008,os_httpd_disable,Disable the Built-in Web Server
V-252486,APPL-12-002009,os_airdrop_disable,Disable AirDrop
V-252487,APPL-12-002012,icloud_calendar_disable,Disable the iCloud Calendar Services
V-252488,APPL-12-002013,icloud_reminders_disable,Disable iCloud Reminders
V-252489,APPL-12-002014,icloud_addressbook_disable,Disable iCloud Address Book
V-252490,APPL-12-002015,icloud_mail_disable,Disable iCloud Mail
V-252491,APPL-12-002016,icloud_notes_disable,Disable iCloud Notes
V-252492,APPL-12-002017,os_camera_disable,Disable Camera
V-252493,APPL-12-002020,sysprefs_siri_disable,Disable Siri
V-252494,APPL-12-002021,sysprefs_diagnostics_reports_disable,Disable Sending Diagnostic and Usage Data to Apple
V-252495,APPL-12-002022,sysprefs_rae_disable,Disable Remote Apple Events
V-252496,APPL-12-002031,icloud_appleid_prefpane_disable,Disable the System Preference Pane for Apple ID
V-252497,APPL-12-002032,sysprefs_internet_accounts_prefpane_hide,Hide the Internet Accounts System Preference Pane
V-252497,APPL-12-002032,sysprefs_internet_accounts_prefpane_disable,Disable the Internet Accounts System Preference Pane
V-252498,APPL-12-002035,os_appleid_prompt_disable,Disable Apple ID Setup during Setup Assistant
V-252499,APPL-12-002036,os_privacy_setup_prompt_disable,Disable Privacy Setup Services During Setup Assistant
V-252500,APPL-12-002037,os_icloud_storage_prompt_disable,Disable iCloud Storage Setup during Setup Assistant 
V-252501,APPL-12-002038,os_tftpd_disable,Disable Trivial File Transfer Protocol Service
V-252502,APPL-12-002039,os_siri_prompt_disable,Disable Siri Setup during Setup Assistant
V-252503,APPL-12-002040,icloud_keychain_disable,Disable iCloud Keychain Sync
V-252504,APPL-12-002041,icloud_drive_disable,Disable iCloud Document Sync
V-252505,APPL-12-002042,icloud_bookmarks_disable,Disable iCloud Bookmarks
V-252506,APPL-12-002043,icloud_photos_disable,Disable iCloud Photo Library
V-252507,APPL-12-002050,sysprefs_screen_sharing_disable,Disable Screen Sharing and Apple Remote Desktop
V-252508,APPL-12-002051,sysprefs_touchid_prefpane_hide,Hide the System Preference Pane for Touch ID
V-252508,APPL-12-002051,sysprefs_touchid_prefpane_disable,Disable the System Preference Pane for Touch ID
